country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","11-09-2025 21:00:00",25.599486,85.113666,CO,4,50,40
India,Bihar,Patna,"Samanpura, Patna - BSPCB","11-09-2025 21:00:00",25.596727,85.085624,PM10,79,154,123
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","11-09-2025 21:00:00",24.75746,84.366208,SO2,8,14,11
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","11-09-2025 21:00:00",24.75746,84.366208,OZONE,2,22,18
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","11-09-2025 21:00:00",25.42742023,86.13886079,NO2,7,26,15
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","11-09-2025 21:00:00",25.42742023,86.13886079,SO2,4,89,27
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","11-09-2025 21:00:00",25.42742023,86.13886079,OZONE,19,59,37
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","11-09-2025 21:00:00",26.80365,84.51954,SO2,10,119,23
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","11-09-2025 21:00:00",13.204880,79.097889,OZONE,46,63,53
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","11-09-2025 21:00:00",16.9872867,81.7363176,PM10,13,52,33
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","11-09-2025 21:00:00",13.67,79.35,CO,12,44,28
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","11-09-2025 21:00:00",13.615387,79.409230,OZONE,30,31,30
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","11-09-2025 21:00:00",16.536107,80.594233,CO,39,40,39
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","11-09-2025 21:00:00",16.536107,80.594233,OZONE,10,38,26
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","11-09-2025 21:00:00",16.509717,80.612222,PM2.5,34,74,52
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","11-09-2025 21:00:00",27.103358,93.679645,PM2.5,2,53,39
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","11-09-2025 21:00:00",26.349082,92.68449,SO2,1,15,7
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","11-09-2025 21:00:00",26.446912,91.439057,NO2,3,8,5
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","11-09-2025 21:00:00",26.446912,91.439057,NH3,1,4,2
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","11-09-2025 21:00:00",26.987634,94.636574,NH3,3,5,4
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","11-09-2025 21:00:00",30.735567,76.775714,NH3,9,14,11
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","11-09-2025 21:00:00",30.751462,76.762879,PM2.5,29,66,47
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","11-09-2025 21:00:00",30.751462,76.762879,CO,16,20,17
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","11-09-2025 21:00:00",30.719859,76.738637,PM10,12,31,20
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","11-09-2025 21:00:00",21.194815,81.314770,PM2.5,12,26,19
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","11-09-2025 21:00:00",21.194815,81.314770,NO2,10,66,25
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","11-09-2025 21:00:00",21.194815,81.314770,NH3,3,4,4
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","11-09-2025 21:00:00",21.194815,81.314770,SO2,5,10,7
India,Delhi,Delhi,"ITO, Delhi - CPCB","11-09-2025 21:00:00",28.628624,77.241060,OZONE,8,19,18
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","11-09-2025 21:00:00",28.732820,77.170633,PM2.5,110,304,209
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","11-09-2025 21:00:00",28.732820,77.170633,NO2,7,24,13
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","11-09-2025 21:00:00",28.732820,77.170633,CO,14,62,28
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","11-09-2025 21:00:00",28.588333,77.221667,SO2,NA,NA,NA
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","11-09-2025 21:00:00",28.611281,77.237738,NO2,NA,NA,NA
